#{"t_start": 1693773786.888829, "env_id": "None"}
r,l,t
0.0,1,1.975422
0.0,1,1.978792
0.0,1,1.980682
0.0,1,1.982509
0.0,1,1.984335
0.0,1,1.98623
0.0,1,1.98811
0.0,1,1.989974
0.0,1,1.991893
0.0,1,1.99393
0.0,1,1.995911
0.0,1,1.997786
0.0,1,1.999618
0.0,1,2.001563
0.0,1,2.003396
0.0,1,2.005244
0.0,1,2.007078
0.0,1,2.00902
0.0,1,2.010973
0.0,1,2.012863
0.0,1,2.014696
0.0,1,2.016671
0.0,1,2.018515
0.0,1,2.020348
0.0,1,2.022182
0.0,1,2.024078
0.0,1,2.025937
0.0,1,2.027836
0.0,1,2.02981
0.0,1,2.031759
0.0,1,2.033605
0.0,1,2.035451
0.0,1,2.037277
0.0,1,2.039194
0.0,1,2.041027
0.0,1,2.04288
0.0,1,2.044798
0.0,1,2.046823
0.0,1,2.048657
0.0,1,2.050497
0.0,1,2.052346
0.0,1,2.054246
0.0,1,2.056087
0.0,1,2.057919
0.0,1,2.059804
0.0,1,2.061873
0.0,1,2.063752
0.0,1,2.065594
0.0,1,2.067438
0.0,1,2.069375
0.0,1,2.0712
0.0,1,2.07306
0.0,1,2.074895
0.0,1,2.07691
0.0,1,2.07904
0.0,1,2.081043
0.0,1,2.083023
0.0,1,2.085115
0.0,1,2.087088
0.0,1,2.089065
0.0,1,2.091034
0.0,1,2.093138
0.0,1,2.095127
0.0,1,2.09714
0.0,1,2.09912
0.0,1,2.101213
0.0,1,2.103203
0.0,1,2.105206
0.0,1,2.107208
0.0,1,2.109336
0.0,1,2.111308
0.0,1,2.113225
0.0,1,2.115065
0.0,1,2.117006
0.0,1,2.118842
0.0,1,2.12068
0.0,1,2.122508
0.0,1,2.124429
0.0,1,2.126358
0.0,1,2.128306
0.0,1,2.130201
0.0,1,2.132149
0.0,1,2.133981
0.0,1,2.13581
0.0,1,2.137662
0.0,1,2.139572
0.0,1,2.141417
0.0,1,2.143328
0.0,1,2.145256
0.0,1,2.14724
0.0,1,2.149095
0.0,1,2.150921
0.0,1,2.152753
0.0,1,2.154667
0.0,1,2.156498
0.0,1,2.158341
0.0,1,2.160261
0.0,1,2.162299
0.0,1,2.164146
0.0,1,2.165985
0.0,1,2.167821
0.0,1,2.170898
0.0,1,2.172752
0.0,1,2.174593
0.0,1,2.17654
0.0,1,2.178754
0.0,1,2.180634
0.0,1,2.182469
0.0,1,2.184295
0.0,1,2.18622
0.0,1,2.188058
0.0,1,2.189893
0.0,1,2.191745
0.0,1,2.193713
0.0,1,2.195671
0.0,1,2.197546
0.0,1,2.199382
0.0,1,2.201331
0.0,1,2.203175
0.0,1,2.205009
0.0,1,2.206837
0.0,1,2.208775
0.0,1,2.210697
0.0,1,2.212738
0.0,1,2.214602
0.0,1,2.216553
0.0,1,2.218392
0.0,1,2.220246
0.0,1,2.222076
0.0,1,2.22398
0.0,1,2.225851
0.0,1,2.227753
0.0,1,2.229646
0.0,1,2.231601
0.0,1,2.233444
0.0,1,2.235275
0.0,1,2.237118
0.0,1,2.239017
0.0,1,2.240852
0.0,1,2.242774
0.0,1,2.244747
0.0,1,2.246741
0.0,1,2.248588
0.0,1,2.250423
0.0,1,2.252249
0.0,1,2.254169
0.0,1,2.256001
0.0,1,2.25784
0.0,1,2.259753
0.0,1,2.261833
0.0,1,2.2637
